pair_id,matt_ref,luke_ref,matt_index,luke_index,score,score_content,score_all,neighbor_support,rank_matt_to_luke,rank_luke_to_matt,pair_classes,matt_token_count,luke_token_count,matt_content_count,luke_content_count
133,Matt 21:1,Luke 19:29,680,865,0.39397,0.387638,0.410254,0.241532,1,1,substitution,19,18,11,10
134,Matt 21:2,Luke 19:30,681,866,0.241532,0.248754,0.222963,0.39397,1,1,substitution;reordering,21,22,10,14
135,Matt 21:3,Luke 19:34,682,870,0.526422,0.524604,0.531098,0.194857,1,1,matt_expands,17,9,9,4
136,Matt 21:7,Luke 19:35,686,871,0.198311,0.179691,0.246191,0.227891,1,1,substitution;reordering,16,17,6,7
137,Matt 21:8,Luke 19:36,687,872,0.227891,0.223632,0.238843,0.198311,1,1,matt_expands;substitution,23,10,11,4
138,Matt 21:9,Luke 19:38,688,874,0.275318,0.277941,0.268574,0.013609,1,2,matt_expands,25,15,12,10
139,Matt 21:11,Luke 19:39,690,875,0.129149,0.129559,0.128096,0.01241,5,5,substitution;reordering,14,15,8,7
140,Matt 21:12,Luke 19:45,691,881,0.286752,0.238006,0.412101,0.621301,1,1,matt_expands,29,9,14,5
141,Matt 21:13,Luke 19:46,692,882,0.621301,0.741064,0.800422,0.286752,1,1,partial_overlap,16,16,9,9
142,Matt 21:15,Luke 20:1,694,885,0.166508,0.131994,0.25526,0.064851,1,5,reordering,26,24,12,11
143,Matt 21:23,Luke 20:2,702,886,0.574242,0.61507,0.469257,0.483362,1,1,matt_expands,29,21,16,12
144,Matt 21:24,Luke 20:3,703,887,0.483362,0.4595,0.544722,0.574242,3,1,matt_expands,23,12,12,5
