luke_window_start_ref,luke_window_center_ref,luke_window_end_ref,rank,matt_window_start_ref,matt_window_center_ref,matt_window_end_ref,score
Luke 1:21,Luke 1:22,Luke 1:23,9,Matt 9:7,Matt 9:8,Matt 9:9,0.066642
Luke 1:21,Luke 1:22,Luke 1:23,10,Matt 27:39,Matt 27:40,Matt 27:41,0.065764
Luke 1:22,Luke 1:23,Luke 1:24,1,Matt 9:31,Matt 9:32,Matt 9:33,0.070889
Luke 1:22,Luke 1:23,Luke 1:24,2,Matt 9:6,Matt 9:7,Matt 9:8,0.067816
Luke 1:22,Luke 1:23,Luke 1:24,3,Matt 12:21,Matt 12:22,Matt 12:23,0.066041
Luke 1:22,Luke 1:23,Luke 1:24,4,Matt 9:7,Matt 9:8,Matt 9:9,0.065679
Luke 1:22,Luke 1:23,Luke 1:24,5,Matt 9:5,Matt 9:6,Matt 9:7,0.063584
Luke 1:22,Luke 1:23,Luke 1:24,6,Matt 12:22,Matt 12:23,Matt 12:24,0.063574
Luke 1:22,Luke 1:23,Luke 1:24,7,Matt 9:32,Matt 9:33,Matt 9:34,0.062778
Luke 1:22,Luke 1:23,Luke 1:24,8,Matt 27:40,Matt 27:41,Matt 27:42,0.059534
Luke 1:22,Luke 1:23,Luke 1:24,9,Matt 26:53,Matt 26:54,Matt 26:55,0.058493
Luke 1:22,Luke 1:23,Luke 1:24,10,Matt 24:36,Matt 24:37,Matt 24:38,0.058346
Luke 1:23,Luke 1:24,Luke 1:25,1,Matt 24:36,Matt 24:37,Matt 24:38,0.084794
Luke 1:23,Luke 1:24,Luke 1:25,2,Matt 24:37,Matt 24:38,Matt 24:39,0.074582
Luke 1:23,Luke 1:24,Luke 1:25,3,Matt 9:6,Matt 9:7,Matt 9:8,0.072014
Luke 1:23,Luke 1:24,Luke 1:25,4,Matt 9:5,Matt 9:6,Matt 9:7,0.067402
Luke 1:23,Luke 1:24,Luke 1:25,5,Matt 25:18,Matt 25:19,Matt 25:20,0.065874
Luke 1:23,Luke 1:24,Luke 1:25,6,Matt 9:7,Matt 9:8,Matt 9:9,0.065115
Luke 1:23,Luke 1:24,Luke 1:25,7,Matt 24:46,Matt 24:47,Matt 24:48,0.060388
Luke 1:23,Luke 1:24,Luke 1:25,8,Matt 24:35,Matt 24:36,Matt 24:37,0.060182
Luke 1:23,Luke 1:24,Luke 1:25,9,Matt 24:44,Matt 24:45,Matt 24:46,0.057963
Luke 1:23,Luke 1:24,Luke 1:25,10,Matt 25:19,Matt 25:20,Matt 25:21,0.05677
Luke 1:24,Luke 1:25,Luke 1:26,1,Matt 21:9,Matt 21:10,Matt 21:11,0.067828
Luke 1:24,Luke 1:25,Luke 1:26,2,Matt 24:36,Matt 24:37,Matt 24:38,0.064588
