pericope_id,unit_type,pair,block_id,block_label,matthew_range,mark_range,luke_range,john_range,pair_count,avg_score,evidence_origin,methodological_status,representative_primary_pairs,shared_features
Mark_Matthew_block_25,computational_synoptic_block,Mark↔Matthew,25,Mark Mark 16:6–Mark 16:7 / Matt Matt 28:6–Matt 28:7,Matt 28:6–Matt 28:7,Mark 16:6–Mark 16:7,,,2,0.386416,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 16:6~Matt 28:6; Mark 16:7~Matt 28:7,
Mark_Matthew_block_3,computational_synoptic_block,Mark↔Matthew,3,Mark Mark 1:15–Mark 1:21 / Matt Matt 4:17–Matt 4:23,Matt 4:17–Matt 4:23,Mark 1:15–Mark 1:21,,,7,0.398465,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 1:15~Matt 4:17; Mark 1:16~Matt 4:18; Mark 1:17~Matt 4:19; Mark 1:18~Matt 4:20; Mark 1:19~Matt 4:21,
Mark_Matthew_block_4,computational_synoptic_block,Mark↔Matthew,4,Mark Mark 1:22–Mark 1:22 / Matt Matt 7:29–Matt 7:29,Matt 7:29–Matt 7:29,Mark 1:22–Mark 1:22,,,1,0.714092,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 1:22~Matt 7:29,
Mark_Matthew_block_5,computational_synoptic_block,Mark↔Matthew,5,Mark Mark 1:40–Mark 2:1 / Matt Matt 8:2–Matt 8:5,Matt 8:2–Matt 8:5,Mark 1:40–Mark 2:1,,,4,0.478942,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 1:40~Matt 8:2; Mark 1:41~Matt 8:3; Mark 1:44~Matt 8:4; Mark 2:1~Matt 8:5,
Mark_Matthew_block_6,computational_synoptic_block,Mark↔Matthew,6,Mark Mark 2:5–Mark 2:22 / Matt Matt 9:2–Matt 9:17,Matt 9:2–Matt 9:17,Mark 2:5–Mark 2:22,,,15,0.458111,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 2:5~Matt 9:2; Mark 2:6~Matt 9:3; Mark 2:8~Matt 9:4; Mark 2:9~Matt 9:5; Mark 2:10~Matt 9:6,
Mark_Matthew_block_7,computational_synoptic_block,Mark↔Matthew,7,Mark Mark 2:23–Mark 3:7 / Matt Matt 12:1–Matt 12:15,Matt 12:1–Matt 12:15,Mark 2:23–Mark 3:7,,,12,0.377841,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 2:23~Matt 12:1; Mark 2:24~Matt 12:2; Mark 2:25~Matt 12:3; Mark 2:26~Matt 12:4; Mark 2:27~Matt 12:5,
Mark_Matthew_block_8,computational_synoptic_block,Mark↔Matthew,8,Mark Mark 3:21–Mark 3:29 / Matt Matt 12:23–Matt 12:32,Matt 12:23–Matt 12:32,Mark 3:21–Mark 3:29,,,7,0.313823,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 3:21~Matt 12:23; Mark 3:22~Matt 12:24; Mark 3:25~Matt 12:25; Mark 3:26~Matt 12:26; Mark 3:27~Matt 12:29,
Mark_Matthew_block_9,computational_synoptic_block,Mark↔Matthew,9,Mark Mark 3:31–Mark 4:11 / Matt Matt 12:46–Matt 13:11,Matt 12:46–Matt 13:11,Mark 3:31–Mark 4:11,,,15,0.531866,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 3:31~Matt 12:46; Mark 3:32~Matt 12:47; Mark 3:33~Matt 12:48; Mark 3:34~Matt 12:49; Mark 3:35~Matt 12:50,
Matthew_Luke_block_1,computational_synoptic_block,Matthew↔Luke,1,Matt 1:21–Matt 1:21 / Luke 1:13–Luke 1:13,Matt 1:21–Matt 1:21,,Luke 1:13–Luke 1:13,,1,0.181643,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,,
Matthew_Luke_block_10,computational_synoptic_block,Matthew↔Luke,10,Matt 9:34–Matt 10:4 / Luke 6:2–Luke 6:16,Matt 9:34–Matt 10:4,,Luke 6:2–Luke 6:16,,4,0.252561,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,,
