rank_in_chain	mark_ref	matt_ref	score	op_index	op	mark_segment	matt_segment
32	Mark 2:22	Matt 9:17	0.655731	4	equal	και ο οινοσ	και ο οινοσ
32	Mark 2:22	Matt 9:17	0.655731	5	replace	απολλυται	εκχειται
32	Mark 2:22	Matt 9:17	0.655731	6	equal	και οι ασκοι	και οι ασκοι
32	Mark 2:22	Matt 9:17	0.655731	7	insert		απολλυνται
32	Mark 2:22	Matt 9:17	0.655731	8	equal	αλλα	αλλα
32	Mark 2:22	Matt 9:17	0.655731	9	insert		βαλλουσιν
32	Mark 2:22	Matt 9:17	0.655731	10	equal	οινον νεον εισ ασκουσ καινουσ	οινον νεον εισ ασκουσ καινουσ
32	Mark 2:22	Matt 9:17	0.655731	11	insert		και αμφοτεροι συντηρουνται
33	Mark 2:23	Matt 12:1	0.481541	1	delete	και εγενετο αυτον	
33	Mark 2:23	Matt 12:1	0.481541	2	equal	εν	εν
33	Mark 2:23	Matt 12:1	0.481541	3	insert		εκεινω τω καιρω επορευθη ο ιησουσ
33	Mark 2:23	Matt 12:1	0.481541	4	equal	τοισ σαββασιν	τοισ σαββασιν
33	Mark 2:23	Matt 12:1	0.481541	5	delete	παραπορευεσθαι	
33	Mark 2:23	Matt 12:1	0.481541	6	equal	δια των σποριμων	δια των σποριμων
33	Mark 2:23	Matt 12:1	0.481541	7	delete	και	
33	Mark 2:23	Matt 12:1	0.481541	8	equal	οι	οι
33	Mark 2:23	Matt 12:1	0.481541	9	insert		δε
33	Mark 2:23	Matt 12:1	0.481541	10	equal	μαθηται αυτου	μαθηται αυτου
33	Mark 2:23	Matt 12:1	0.481541	11	insert		επεινασαν και
33	Mark 2:23	Matt 12:1	0.481541	12	equal	ηρξαντο	ηρξαντο
33	Mark 2:23	Matt 12:1	0.481541	13	replace	οδον ποιειν τιλλοντεσ τουσ	τιλλειν
33	Mark 2:23	Matt 12:1	0.481541	14	equal	σταχυασ	σταχυασ
33	Mark 2:23	Matt 12:1	0.481541	15	insert		και εσθιειν
34	Mark 2:24	Matt 12:2	0.502062	1	delete	και	
34	Mark 2:24	Matt 12:2	0.502062	2	equal	οι	οι
34	Mark 2:24	Matt 12:2	0.502062	3	insert		δε
34	Mark 2:24	Matt 12:2	0.502062	4	equal	φαρισαιοι	φαρισαιοι
34	Mark 2:24	Matt 12:2	0.502062	5	replace	ελεγον	ιδοντεσ ειπαν
34	Mark 2:24	Matt 12:2	0.502062	6	equal	αυτω	αυτω
34	Mark 2:24	Matt 12:2	0.502062	7	replace	ιδε τι	ιδου οι μαθηται σου
34	Mark 2:24	Matt 12:2	0.502062	8	equal	ποιουσιν	ποιουσιν
34	Mark 2:24	Matt 12:2	0.502062	9	delete	τοισ σαββασιν	
34	Mark 2:24	Matt 12:2	0.502062	10	equal	ο ουκ εξεστιν	ο ουκ εξεστιν
34	Mark 2:24	Matt 12:2	0.502062	11	insert		ποιειν εν σαββατω
35	Mark 2:25	Matt 12:3	0.62569	1	replace	και λεγει	ο δε ειπεν
35	Mark 2:25	Matt 12:3	0.62569	2	equal	αυτοισ	αυτοισ
35	Mark 2:25	Matt 12:3	0.62569	3	replace	ουδεποτε	ουκ
35	Mark 2:25	Matt 12:3	0.62569	4	equal	ανεγνωτε τι εποιησεν δαυιδ οτε	ανεγνωτε τι εποιησεν δαυιδ οτε
35	Mark 2:25	Matt 12:3	0.62569	5	delete	χρειαν εσχεν και	
35	Mark 2:25	Matt 12:3	0.62569	6	equal	επεινασεν	επεινασεν
35	Mark 2:25	Matt 12:3	0.62569	7	delete	αυτοσ	
35	Mark 2:25	Matt 12:3	0.62569	8	equal	και οι μετ αυτου	και οι μετ αυτου
36	Mark 2:26	Matt 12:4	0.61078	1	equal	πωσ εισηλθεν εισ τον οικον του θεου	πωσ εισηλθεν εισ τον οικον του θεου
36	Mark 2:26	Matt 12:4	0.61078	2	delete	επι αβιαθαρ αρχιερεωσ	
36	Mark 2:26	Matt 12:4	0.61078	3	equal	και τουσ αρτουσ τησ προθεσεωσ	και τουσ αρτουσ τησ προθεσεωσ
36	Mark 2:26	Matt 12:4	0.61078	4	replace	εφαγεν ουσ	εφαγον ο
36	Mark 2:26	Matt 12:4	0.61078	5	equal	ουκ	ουκ
36	Mark 2:26	Matt 12:4	0.61078	6	replace	εξεστιν	εξον ην αυτω
36	Mark 2:26	Matt 12:4	0.61078	7	equal	φαγειν	φαγειν
36	Mark 2:26	Matt 12:4	0.61078	8	insert		ουδε τοισ μετ αυτου
36	Mark 2:26	Matt 12:4	0.61078	9	equal	ει μη	ει μη
36	Mark 2:26	Matt 12:4	0.61078	10	delete	τουσ ιερεισ και εδωκεν και	
36	Mark 2:26	Matt 12:4	0.61078	11	equal	τοισ	τοισ
36	Mark 2:26	Matt 12:4	0.61078	12	replace	συν αυτω ουσιν	ιερευσιν μονοισ
37	Mark 2:27	Matt 12:5	0.291961	1	replace	και ελεγεν αυτοισ	η ουκ ανεγνωτε εν τω νομω οτι τοισ σαββασιν οι ιερεισ εν τω ιερω
37	Mark 2:27	Matt 12:5	0.291961	2	equal	το σαββατον	το σαββατον
37	Mark 2:27	Matt 12:5	0.291961	3	replace	δια τον ανθρωπον εγενετο	βεβηλουσιν
37	Mark 2:27	Matt 12:5	0.291961	4	equal	και	και
