source_ref,target_ref,rank,score
Matt 1:5,Mark 7:29,6,0.09632366895675659
Matt 1:5,Mark 13:15,7,0.08893433958292007
Matt 1:5,Mark 7:21,8,0.08590804040431976
Matt 1:5,Mark 15:11,9,0.08509576320648193
Matt 1:5,Mark 15:9,10,0.07992680370807648
Matt 1:5,Mark 10:37,11,0.07962562888860703
Matt 1:5,Mark 9:21,12,0.07906497269868851
Matt 1:5,Mark 12:30,13,0.07731537520885468
Matt 1:5,Mark 8:28,14,0.07695212215185165
Matt 1:5,Mark 10:40,15,0.07682675868272781
Matt 1:5,Mark 11:8,16,0.07540354132652283
Matt 1:5,Mark 14:21,17,0.07478460669517517
Matt 1:5,Mark 12:16,18,0.07439221441745758
Matt 1:5,Mark 10:20,19,0.07419142127037048
Matt 1:5,Mark 5:2,20,0.07378283888101578
Matt 1:6,Mark 15:9,1,0.14068779349327087
Matt 1:6,Mark 15:12,2,0.1278226673603058
Matt 1:6,Mark 7:20,3,0.12623703479766846
Matt 1:6,Mark 12:44,4,0.12314198911190033
Matt 1:6,Mark 16:3,5,0.11861169338226318
Matt 1:6,Mark 14:62,6,0.11446425318717957
Matt 1:6,Mark 7:26,7,0.11135174334049225
Matt 1:6,Mark 7:29,8,0.10787560045719147
Matt 1:6,Mark 13:15,9,0.10638676583766937
Matt 1:6,Mark 7:21,10,0.10536016523838043
Matt 1:6,Mark 12:36,11,0.10346665978431702
Matt 1:6,Mark 15:2,12,0.101262666285038
Matt 1:6,Mark 15:11,13,0.09790260344743729
Matt 1:6,Mark 6:25,14,0.09660262614488602
Matt 1:6,Mark 11:10,15,0.09598805010318756
Matt 1:6,Mark 12:35,16,0.09522916376590729
Matt 1:6,Mark 15:26,17,0.09402163326740265
Matt 1:6,Mark 10:48,18,0.09251166135072708
Matt 1:6,Mark 8:28,19,0.09006822109222412
Matt 1:6,Mark 13:25,20,0.08957263827323914
Matt 1:7,Mark 15:9,1,0.08931715041399002
Matt 1:7,Mark 8:28,2,0.08851484209299088
Matt 1:7,Mark 7:20,3,0.08679544925689697
Matt 1:7,Mark 15:11,4,0.08640998601913452
Matt 1:7,Mark 12:16,5,0.07996442914009094
Matt 1:7,Mark 15:12,6,0.07854597270488739
Matt 1:7,Mark 10:50,7,0.07728627324104309
Matt 1:7,Mark 15:13,8,0.07709719985723495
