matt_start_ref,matt_end_ref,mark_start_ref,mark_end_ref,rank,window_score,matt_refs,mark_refs
Matt 8:14,Matt 8:16,Mark 1:29,Mark 1:31,3,0.219439,Matt 8:14 | Matt 8:15 | Matt 8:16,Mark 1:29 | Mark 1:30 | Mark 1:31
Matt 8:14,Matt 8:16,Mark 1:32,Mark 1:34,4,0.176438,Matt 8:14 | Matt 8:15 | Matt 8:16,Mark 1:32 | Mark 1:33 | Mark 1:34
Matt 8:15,Matt 8:17,Mark 1:31,Mark 1:33,1,0.255213,Matt 8:15 | Matt 8:16 | Matt 8:17,Mark 1:31 | Mark 1:32 | Mark 1:33
Matt 8:15,Matt 8:17,Mark 1:30,Mark 1:32,2,0.253697,Matt 8:15 | Matt 8:16 | Matt 8:17,Mark 1:30 | Mark 1:31 | Mark 1:32
Matt 8:15,Matt 8:17,Mark 1:32,Mark 1:34,3,0.198547,Matt 8:15 | Matt 8:16 | Matt 8:17,Mark 1:32 | Mark 1:33 | Mark 1:34
Matt 8:16,Matt 8:18,Mark 1:32,Mark 1:34,1,0.188423,Matt 8:16 | Matt 8:17 | Matt 8:18,Mark 1:32 | Mark 1:33 | Mark 1:34
Matt 8:23,Matt 8:25,Mark 4:36,Mark 4:38,1,0.187135,Matt 8:23 | Matt 8:24 | Matt 8:25,Mark 4:36 | Mark 4:37 | Mark 4:38
Matt 8:23,Matt 8:25,Mark 4:37,Mark 4:39,2,0.169408,Matt 8:23 | Matt 8:24 | Matt 8:25,Mark 4:37 | Mark 4:38 | Mark 4:39
Matt 8:24,Matt 8:26,Mark 4:38,Mark 4:40,1,0.282722,Matt 8:24 | Matt 8:25 | Matt 8:26,Mark 4:38 | Mark 4:39 | Mark 4:40
Matt 8:24,Matt 8:26,Mark 4:37,Mark 4:39,2,0.278411,Matt 8:24 | Matt 8:25 | Matt 8:26,Mark 4:37 | Mark 4:38 | Mark 4:39
Matt 8:24,Matt 8:26,Mark 4:39,Mark 4:41,3,0.211316,Matt 8:24 | Matt 8:25 | Matt 8:26,Mark 4:39 | Mark 4:40 | Mark 4:41
Matt 8:24,Matt 8:26,Mark 4:36,Mark 4:38,4,0.175344,Matt 8:24 | Matt 8:25 | Matt 8:26,Mark 4:36 | Mark 4:37 | Mark 4:38
Matt 8:25,Matt 8:27,Mark 4:39,Mark 4:41,1,0.352398,Matt 8:25 | Matt 8:26 | Matt 8:27,Mark 4:39 | Mark 4:40 | Mark 4:41
Matt 8:25,Matt 8:27,Mark 4:40,Mark 5:1,2,0.284371,Matt 8:25 | Matt 8:26 | Matt 8:27,Mark 4:40 | Mark 4:41 | Mark 5:1
Matt 8:25,Matt 8:27,Mark 4:38,Mark 4:40,3,0.283912,Matt 8:25 | Matt 8:26 | Matt 8:27,Mark 4:38 | Mark 4:39 | Mark 4:40
Matt 8:25,Matt 8:27,Mark 4:37,Mark 4:39,4,0.207681,Matt 8:25 | Matt 8:26 | Matt 8:27,Mark 4:37 | Mark 4:38 | Mark 4:39
Matt 8:25,Matt 8:27,Mark 4:41,Mark 5:2,5,0.200632,Matt 8:25 | Matt 8:26 | Matt 8:27,Mark 4:41 | Mark 5:1 | Mark 5:2
Matt 8:26,Matt 8:28,Mark 4:40,Mark 5:1,1,0.295051,Matt 8:26 | Matt 8:27 | Matt 8:28,Mark 4:40 | Mark 4:41 | Mark 5:1
Matt 8:26,Matt 8:28,Mark 4:41,Mark 5:2,2,0.28118,Matt 8:26 | Matt 8:27 | Matt 8:28,Mark 4:41 | Mark 5:1 | Mark 5:2
Matt 8:26,Matt 8:28,Mark 4:39,Mark 4:41,3,0.270309,Matt 8:26 | Matt 8:27 | Matt 8:28,Mark 4:39 | Mark 4:40 | Mark 4:41
Matt 8:26,Matt 8:28,Mark 4:38,Mark 4:40,4,0.197017,Matt 8:26 | Matt 8:27 | Matt 8:28,Mark 4:38 | Mark 4:39 | Mark 4:40
Matt 8:27,Matt 8:29,Mark 4:41,Mark 5:2,1,0.278059,Matt 8:27 | Matt 8:28 | Matt 8:29,Mark 4:41 | Mark 5:1 | Mark 5:2
Matt 8:27,Matt 8:29,Mark 4:40,Mark 5:1,2,0.225713,Matt 8:27 | Matt 8:28 | Matt 8:29,Mark 4:40 | Mark 4:41 | Mark 5:1
Matt 8:29,Matt 8:31,Mark 5:10,Mark 5:12,1,0.246547,Matt 8:29 | Matt 8:30 | Matt 8:31,Mark 5:10 | Mark 5:11 | Mark 5:12
Matt 8:29,Matt 8:31,Mark 5:9,Mark 5:11,2,0.200456,Matt 8:29 | Matt 8:30 | Matt 8:31,Mark 5:9 | Mark 5:10 | Mark 5:11
Matt 8:29,Matt 8:31,Mark 5:11,Mark 5:13,3,0.163231,Matt 8:29 | Matt 8:30 | Matt 8:31,Mark 5:11 | Mark 5:12 | Mark 5:13
Matt 8:30,Matt 8:32,Mark 5:11,Mark 5:13,1,0.304769,Matt 8:30 | Matt 8:31 | Matt 8:32,Mark 5:11 | Mark 5:12 | Mark 5:13
Matt 8:30,Matt 8:32,Mark 5:12,Mark 5:14,2,0.239629,Matt 8:30 | Matt 8:31 | Matt 8:32,Mark 5:12 | Mark 5:13 | Mark 5:14
Matt 8:30,Matt 8:32,Mark 5:10,Mark 5:12,3,0.221692,Matt 8:30 | Matt 8:31 | Matt 8:32,Mark 5:10 | Mark 5:11 | Mark 5:12
Matt 8:30,Matt 8:32,Mark 5:9,Mark 5:11,4,0.169874,Matt 8:30 | Matt 8:31 | Matt 8:32,Mark 5:9 | Mark 5:10 | Mark 5:11
Matt 8:31,Matt 8:33,Mark 5:12,Mark 5:14,1,0.310554,Matt 8:31 | Matt 8:32 | Matt 8:33,Mark 5:12 | Mark 5:13 | Mark 5:14
Matt 8:31,Matt 8:33,Mark 5:11,Mark 5:13,2,0.247423,Matt 8:31 | Matt 8:32 | Matt 8:33,Mark 5:11 | Mark 5:12 | Mark 5:13
Matt 8:31,Matt 8:33,Mark 5:13,Mark 5:15,3,0.242026,Matt 8:31 | Matt 8:32 | Matt 8:33,Mark 5:13 | Mark 5:14 | Mark 5:15
Matt 8:31,Matt 8:33,Mark 5:10,Mark 5:12,4,0.165975,Matt 8:31 | Matt 8:32 | Matt 8:33,Mark 5:10 | Mark 5:11 | Mark 5:12
Matt 8:32,Matt 8:34,Mark 5:12,Mark 5:14,1,0.301867,Matt 8:32 | Matt 8:33 | Matt 8:34,Mark 5:12 | Mark 5:13 | Mark 5:14
Matt 8:32,Matt 8:34,Mark 5:13,Mark 5:15,2,0.258147,Matt 8:32 | Matt 8:33 | Matt 8:34,Mark 5:13 | Mark 5:14 | Mark 5:15
Matt 8:32,Matt 8:34,Mark 5:11,Mark 5:13,3,0.203977,Matt 8:32 | Matt 8:33 | Matt 8:34,Mark 5:11 | Mark 5:12 | Mark 5:13
Matt 8:33,Matt 9:1,Mark 5:16,Mark 5:18,1,0.204592,Matt 8:33 | Matt 8:34 | Matt 9:1,Mark 5:16 | Mark 5:17 | Mark 5:18
Matt 8:33,Matt 9:1,Mark 5:17,Mark 5:19,2,0.176704,Matt 8:33 | Matt 8:34 | Matt 9:1,Mark 5:17 | Mark 5:18 | Mark 5:19
Matt 8:33,Matt 9:1,Mark 5:14,Mark 5:16,3,0.162757,Matt 8:33 | Matt 8:34 | Matt 9:1,Mark 5:14 | Mark 5:15 | Mark 5:16
Matt 8:34,Matt 9:2,Mark 2:3,Mark 2:5,1,0.226694,Matt 8:34 | Matt 9:1 | Matt 9:2,Mark 2:3 | Mark 2:4 | Mark 2:5
Matt 8:34,Matt 9:2,Mark 2:4,Mark 2:6,2,0.213639,Matt 8:34 | Matt 9:1 | Matt 9:2,Mark 2:4 | Mark 2:5 | Mark 2:6
